run_id,label
20260217_mini-v2.0.0_kimi-k2-5-high/sphinx-doc__sphinx-10449,0
20251209_mini-v1.17.2_devstral-2512/django__django-15731,0
20250822_mini-v1.9.1_glm-4.5/django__django-15022,0
20251124_mini-v1.17.0_minimax-m2/django__django-13512,0
20251209_mini-v1.17.2_devstral-small-2512/django__django-11490,0
20250822_mini-v1.9.1_glm-4.5/django__django-11095,0
20251201_mini-v1.17.1_glm-4.6/matplotlib__matplotlib-13989,0
20251209_mini-v1.17.2_devstral-small-2512/django__django-14238,0
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11445,0
20250822_mini-v1.9.1_glm-4.5/django__django-13933,0
20260217_mini-v2.0.0_deepseek-3-2-high/django__django-14089,0
20260217_mini-v2.0.0_claude-4-5-sonnet-high/django__django-15128,0
20260217_mini-v2.0.0_minimax-2-5-high/django__django-13809,0
20260217_mini-v2.0.0_glm-5-high/sympy__sympy-15599,0
20260226_mini-v2.0.0_gemini-3-pro-high/pytest-dev__pytest-7324,0
20260217_mini-v2.0.0_deepseek-3-2-high/matplotlib__matplotlib-24570,0
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-15563,0
20260217_mini-v2.0.0_deepseek-3-2-high/sympy__sympy-19637,0
20251124_mini-v1.17.0_minimax-m2/django__django-14017,0
20251209_mini-v1.17.2_devstral-2512/scikit-learn__scikit-learn-14983,0
20260217_mini-v2.0.0_glm-5-high/sympy__sympy-22714,0
20260217_mini-v2.0.0_gemini-3-flash-high/pydata__xarray-3151,0
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3677,0
20260217_mini-v2.0.0_claude-4-5-haiku-high/matplotlib__matplotlib-26291,0
20260217_mini-v2.0.0_deepseek-3-2-high/sphinx-doc__sphinx-10449,0
20250822_mini-v1.9.1_glm-4.5/django__django-7530,0
20260217_mini-v2.0.0_kimi-k2-5-high/django__django-13933,0
20260217_mini-v2.0.0_claude-4-5-haiku-high/matplotlib__matplotlib-20488,0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/psf__requests-1766,0
20260217_mini-v2.0.0_minimax-2-5-high/pydata__xarray-7233,0
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-10914,0
20260217_mini-v2.0.0_gemini-3-flash-high/scikit-learn__scikit-learn-11310,0
20250929_mini-v1.13.3_sonnet-4-5-20250929/sphinx-doc__sphinx-8621,0
20260217_mini-v2.0.0_glm-5-high/django__django-11551,0
20260217_mini-v2.0.0_claude-4-5-sonnet-high/pytest-dev__pytest-7982,0
20260217_mini-v2.0.0_claude-4-5-haiku-high/scikit-learn__scikit-learn-12973,0
20251209_mini-v1.17.2_devstral-small-2512/django__django-11555,0
20260217_mini-v2.0.0_claude-4-5-haiku-high/pytest-dev__pytest-7490,0
20250822_mini-v1.9.1_glm-4.5/django__django-16145,0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/astropy__astropy-12907,0
20260217_mini-v2.0.0_claude-4-5-sonnet-high/sympy__sympy-13091,0
20260217_mini-v2.0.0_gemini-3-flash-high/pylint-dev__pylint-6903,0
20260217_mini-v2.0.0_claude-4-5-haiku-high/django__django-13590,0
20260217_mini-v2.0.0_claude-4-5-sonnet-high/django__django-14140,0
20251124_mini-v1.17.0_minimax-m2/django__django-11119,0
20260217_mini-v2.0.0_minimax-2-5-high/sphinx-doc__sphinx-10449,0
20251209_mini-v1.17.2_devstral-2512/django__django-13821,0
20251201_mini-v1.17.1_glm-4.6/django__django-11555,0
20260217_mini-v2.0.0_minimax-2-5-high/matplotlib__matplotlib-22865,0
20260217_mini-v2.0.0_gemini-3-flash-high/sympy__sympy-19637,0
20260217_mini-v2.0.0_deepseek-3-2-high/django__django-11179,0
20260217_mini-v2.0.0_claude-4-5-sonnet-high/sphinx-doc__sphinx-8269,0
20250822_mini-v1.9.1_glm-4.5/django__django-11133,0
